dealer,city,state,bac,model,vin,year,true_age_days,inventory_type,pressure_score
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Equinox,3GNAXPEG3TL477230,2026,17,new,18.57
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Trailblazer,KL79MUSL3TB121623,2026,71,new,13.37
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,3GCUKFED2TG335657,2026,8,new,3.89
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,3GCUKFED8TG341589,2026,8,new,3.89
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,3GCUKFEDXTG335261,2026,8,new,3.89
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,3GCUKFED1TG335259,2026,3,new,3.73
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,3GCUKFEDXTG340315,2026,3,new,3.73
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,3GCUKFED4TG348877,2026,2,new,3.69
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,3GCUKFEDXTG349810,2026,2,new,3.69
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,2GCUKGED6T1184871,2026,23,new,4.39
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,1GCUKGED4TZ343247,2026,20,new,4.29
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,1GCPKKEKXTZ221748,2026,171,new,8.62
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,1GCPKKEK5TZ353347,2026,8,new,3.89
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,1GCPKKEK0TZ355409,2026,7,new,3.86
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,1GCPKKEK2TZ355525,2026,7,new,3.86
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,1GCPKKEK9TZ355344,2026,7,new,3.86
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,2GCUKDED5T1175593,2026,51,new,5.33
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,1GCRKDED3TZ308560,2026,51,new,5.33
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,1GCRKEED9TZ302879,2026,51,new,5.33
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,1GCRKEEDXTZ303409,2026,51,new,5.33
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,1GCRKEEDXTZ303751,2026,51,new,5.33
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,1GCRKDED7TZ302888,2026,51,new,5.33
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,1GCRKDED8TZ303418,2026,51,new,5.33
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,3GCUKCED2TG344485,2026,3,new,3.73
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,3GCUKCED3TG344530,2026,3,new,3.73
MCKAY CHEVROLET,Raynham,MA,206441,Silverado 1500,3GCUKCED9TG344869,2026,3,new,3.73
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trax,KL77LHEP7TC089463,2026,59,new,1.97
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trax,KL77LFEP5TC122917,2026,21,new,0.7
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trax,KL77LGEP3TC123232,2026,24,new,0.8
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trax,KL77LGEP2TC123223,2026,21,new,0.7
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trax,KL77LGEPXTC123115,2026,21,new,0.7
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trax,KL77LGEP8TC152581,2026,12,new,0.4
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trax,KL77LGEP9TC123168,2026,8,new,0.27
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trailblazer,KL79MNSL6TB144903,2026,70,new,10.83
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trax,KL77LJEP4TC113614,2026,44,new,1.47
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trax,KL77LJEP4TC124127,2026,31,new,1.03
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trailblazer,KL79MRSLXTB035920,2026,275,new,13.5
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trailblazer,KL79MRSL4TB157527,2026,29,new,9.47
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trailblazer,KL79MRSL1TB147960,2026,44,new,9.97
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trailblazer,KL79MRSL4TB186705,2026,6,new,8.7
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trailblazer,KL79MRSL5TB183974,2026,6,new,8.7
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trailblazer,KL79MRSL7TB184057,2026,6,new,8.7
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trailblazer,KL79MRSL9TB183749,2026,6,new,8.7
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trailblazer,KL79MRSL4TB193427,2026,12,new,8.9
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trailblazer,KL79MUSL7TB192355,2026,12,new,8.9
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trailblazer,KL79MSSL1TB190279,2026,0,new,8.5
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Trailblazer,KL79MUSL3TB185693,2026,6,new,8.7
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Equinox,3GNAXPEG9TL415931,2026,27,new,0.9
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Blazer,3GNKBHR42TS130499,2026,76,new,20.53
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Colorado,1GCPTCEK9T1217630,2026,21,new,7.45
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Equinox EV,3GN7DNRR3TS113771,2026,202,new,23
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Colorado,1GCPTCEK1T1226225,2026,6,new,6.95
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Colorado,1GCPTEEK7T1141286,2026,202,new,11.75
"NICK CRIVELLI CHEVROLET, INC.",BEAVER,PA,113428,Colorado,1GCPTDEK9T1224342,2026,9,new,7.05
QUIGLEY CHEVROLET,Bally,PA,113835,Trax,KL77LHEP8TC095157,2026,23,new,0.77
QUIGLEY CHEVROLET,Bally,PA,113835,Trax,KL77LHEP3TC116562,2026,44,new,1.47
QUIGLEY CHEVROLET,Bally,PA,113835,Trax,KL77LHEP1TC133845,2026,24,new,0.8
QUIGLEY CHEVROLET,Bally,PA,113835,Trax,KL77LKEP0TC138774,2026,7,new,0.23
QUIGLEY CHEVROLET,Bally,PA,113835,Trailblazer,KL79MNSL4TB161604,2026,30,new,13
QUIGLEY CHEVROLET,Bally,PA,113835,Trailblazer,KL79MRSL5TB160596,2026,8,new,12.27
QUIGLEY CHEVROLET,Bally,PA,113835,Trailblazer,KL79MRSL3TB074591,2026,141,new,16.7
QUIGLEY CHEVROLET,Bally,PA,113835,Trailblazer,KL79MUSL5TB080282,2026,129,new,16.3
QUIGLEY CHEVROLET,Bally,PA,113835,Trailblazer,KL79MUSL4TB152704,2026,44,new,13.47
QUIGLEY CHEVROLET,Bally,PA,113835,Bolt,1G1FZ6EV0VF101995,2027,86,new,20.87
QUIGLEY CHEVROLET,Bally,PA,113835,Equinox,3GNAXPEG8TL452467,2026,1,new,24.03
QUIGLEY CHEVROLET,Bally,PA,113835,Equinox,3GNAXPEG2TL402244,2026,82,new,26.73
QUIGLEY CHEVROLET,Bally,PA,113835,Equinox EV,3GN7DNRR2SS250991,2025,269,new,26
QUIGLEY CHEVROLET,Bally,PA,113835,Equinox,3GNAXTEG2TL273785,2026,217,new,29
QUIGLEY CHEVROLET,Bally,PA,113835,Equinox,3GNAXTEG4TL402304,2026,86,new,26.87
QUIGLEY CHEVROLET,Bally,PA,113835,Equinox,3GNAXTEG3TL420910,2026,72,new,26.4
QUIGLEY CHEVROLET,Bally,PA,113835,Equinox EV,3GN7DSRR9SS248654,2025,269,new,26
QUIGLEY CHEVROLET,Bally,PA,113835,Silverado 1500,3GCPKBEK0TG277164,2026,66,new,22.45
QUIGLEY CHEVROLET,Bally,PA,113835,Colorado,1GCPTDEK8T1216488,2026,30,new,1
QUIGLEY CHEVROLET,Bally,PA,113835,Silverado 1500,3GCPKCEK0TG247782,2026,91,new,23.28
QUIGLEY CHEVROLET,Bally,PA,113835,Silverado 1500,1GCPKEEK6SZ293322,2025,225,new,25.25
QUIGLEY CHEVROLET,Bally,PA,113835,Traverse,1GNEVJKS0TJ330609,2026,9,new,0.3
QUIGLEY CHEVROLET,Bally,PA,113835,Silverado 1500,1GCRKEED1TZ303086,2026,58,new,22.18
QUIGLEY CHEVROLET,Bally,PA,113835,Silverado 2500 HD,1GC5KNE72TF216176,2026,73,new,20.43
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Trax,KL77LHEP0TC092561,2026,73,new,29.43
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Trax,KL77LHEPXTC095564,2026,73,new,29.43
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Trax,KL77LHEP2TC095171,2026,66,new,29.2
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Trax,KL77LJEP2TC094867,2026,78,new,29.6
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Terrain,3GKALUEG9TL417332,2026,73,new,23.43
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Terrain,3GKALYEG4TL309109,2026,188,new,26
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Silverado 1500,3GCNKAED2TG327615,2026,27,new,0.9
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Sierra 1500,3GTNUAED6TG286531,2026,57,new,33.4
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Blazer,3GNKBJR45TS169305,2026,3,new,0.1
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Silverado 1500,1GCPKBEK9TZ353643,2026,3,new,0.1
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Acadia,1GKENNKS6TJ289715,2026,55,new,12.33
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Sierra 1500,1GTUUAED0TZ234498,2026,157,new,36.5
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Sierra 1500,1GTUUAED4TZ235539,2026,155,new,36.5
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Acadia,1GKENNKS7TJ227756,2026,126,new,14.7
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Sierra 2500 HD,1GT3ULE78TF157771,2026,178,new,29
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Silverado 2500 HD,1GC5KLE77TF268312,2026,13,new,0.43
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Sierra 1500,3GTUUBED2TG278489,2026,23,new,32.27
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Silverado 1500,2GCUKEEDXT1179564,2026,34,new,1.13
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Sierra 1500,1GTUUCED2TZ148220,2026,27,new,32.4
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Sierra 1500,3GTUUCED3TG280919,2026,63,new,33.6
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Sierra 1500,1GTUUCE89TZ236913,2026,155,new,36.5
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Sierra 2500 HD,1GT4UME75TF209156,2026,83,new,26.77
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Sierra 1500,1GTUUCE84TZ246409,2026,146,new,36.37
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Sierra 2500 HD,1GT4UME77TF208929,2026,83,new,26.77
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Sierra 1500,3GTUUCE85TG220238,2026,143,new,36.27
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Sierra 1500,3GTUUDE81TG224437,2026,141,new,36.2
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Sierra 3500 HD,1GT4UUE7XTF177031,2026,155,new,23
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Silverado 2500 HD,1GC4KNEY5TF238600,2026,48,new,1.6
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Silverado 2500 HD,2GC4KNEY3T1185693,2026,20,new,0.67
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Tahoe,1GNS6TKL0TR283653,2026,50,new,1.67
SCOVILLE-MENO CHEVROLET-GMC,Bainbridge,NY,115279,Yukon,1GKS2VKL5TR245971,2026,83,new,20.77
"LACUE CHEVROLET, INC.",Patton,PA,113485,Trax,KL77LFEP3TC083079,2026,80,new,23.67
"LACUE CHEVROLET, INC.",Patton,PA,113485,Trax,KL77LHEP0TC081009,2026,105,new,24.5
"LACUE CHEVROLET, INC.",Patton,PA,113485,Trailblazer,KL79MRSL5TB086483,2026,38,new,1.27
"LACUE CHEVROLET, INC.",Patton,PA,113485,Trailblazer,KL79MRSL9TB161069,2026,51,new,1.7
"LACUE CHEVROLET, INC.",Patton,PA,113485,Equinox,3GNAXPEG4TL313596,2026,185,new,15.5
"LACUE CHEVROLET, INC.",Patton,PA,113485,Blazer,3GNKBHR45TS126785,2026,86,new,20.87
"LACUE CHEVROLET, INC.",Patton,PA,113485,Equinox,3GNAXTEGXTL467447,2026,9,new,10.8
"LACUE CHEVROLET, INC.",Patton,PA,113485,Silverado 1500,3GCNKAEK8TG193059,2026,99,new,19.3
"LACUE CHEVROLET, INC.",Patton,PA,113485,Traverse,1GNEVGKS6TJ183327,2026,198,new,23
"LACUE CHEVROLET, INC.",Patton,PA,113485,Silverado 1500,1GCUKDEDXTZ334616,2026,7,new,16.23
"LACUE CHEVROLET, INC.",Patton,PA,113485,Silverado 1500,1GCUKDE84TZ262413,2026,128,new,20.27
"LACUE CHEVROLET, INC.",Patton,PA,113485,Silverado 2500 HD,2GC4KMEY6T1187786,2026,13,new,10.93
"LACUE CHEVROLET, INC.",Patton,PA,113485,Suburban,1GNS6CKD4TR179661,2026,167,new,26
"LACUE CHEVROLET, INC.",Patton,PA,113485,Silverado 2500 HD,1GC4KNEY2TF122156,2026,219,new,15.5
"LACUE CHEVROLET, INC.",Patton,PA,113485,Suburban,1GNS6FKD7TR242527,2026,91,new,24.03
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Blazer,3GNKBERS2PS209884,2023,724,new,26
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Blazer,3GNKBKRS4PS219007,2023,724,new,26
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Equinox,3GNAXHEG7TL172674,2026,290,new,35.86
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Trax,KL77LJEP8SC332610,2025,268,new,26
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Silverado 1500,3GCNKAED2TG109061,2026,252,new,41
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Equinox,3GNAXPEG5TL227343,2026,248,new,35.86
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Equinox,3GNAXPEG7TL227408,2026,248,new,35.86
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Equinox,3GNAXPEG9TL227507,2026,248,new,35.86
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Silverado EV,1GC400EL5TU407023,2026,225,new,23
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Silverado 1500,3GCNKAEK2TG164978,2026,185,new,41
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Traverse,1GNEVJKS3TJ196811,2026,178,new,15.5
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Equinox EV,3GN7DNRR4TS102486,2026,141,new,15.2
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Trax,KL77LHEP9TC059557,2026,136,new,25.53
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Trailblazer,KL79MRSL4TB102558,2026,128,new,9.14
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Tahoe,1GNS6SKD3TR194341,2026,121,new,14.53
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Silverado 2500 HD,2GC4KME77T1155601,2026,114,new,24.8
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Silverado 1500,3GCPKKEK8TG180620,2026,104,new,39.47
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Silverado 1500,3GCNKAEK1TG238763,2026,92,new,39.07
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Silverado 1500,3GCNKAEK6TG240122,2026,92,new,39.07
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Corvette Z06,1G1YE2D3XT5603901,2026,90,new,21
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Silverado 1500,3GCNKAEK6TG239553,2026,86,new,38.87
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Silverado 1500,3GCNKAEK7TG238556,2026,86,new,38.87
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Equinox,3GNAXPEG8TL386034,2026,86,new,33.72
"DAVE HALLMAN CHEVROLET, INC.",Erie,PA,113533,Equinox,3GNAXPEGXTL386018,2026,86,new,33.72
